Frame,left_001_X,left_001_Y,left_001_Z,left_002_X,left_002_Y,left_002_Z,left_003_X,left_003_Y,left_003_Z,volume_001_X,volume_001_Y,volume_001_Z,volume_002_X,volume_002_Y,volume_002_Z,volume_003_X,volume_003_Y,volume_003_Z,webcam_001_X,webcam_001_Y,webcam_001_Z,webcam_002_X,webcam_002_Y,webcam_002_Z,webcam_003_X,webcam_003_Y,webcam_003_Z,zed_volume_001_X,zed_volume_001_Y,zed_volume_001_Z,zed_volume_002_X,zed_volume_002_Y,zed_volume_002_Z,zed_volume_003_X,zed_volume_003_Y,zed_volume_003_Z
23,3571.858154,1050.782104,-174.236053,3547.060547,1067.544189,-225.666061,3481.628418,1062.806885,-109.99527,3587.102295,1052.967041,-67.911224,3521.069092,1041.712524,-152.087921,3537.373047,1038.424683,-287.43042,3813.291016,1666.701904,230.37532,3898.840332,1641.043945,147.82106,3895.32251,1558.349609,178.626434,3701.427979,1342.063477,198.272858,3660.289795,1324.210693,121.266823,3805.092773,1340.676392,133.554382
24,3571.825684,1050.740967,-174.188934,3547.123047,1067.458984,-225.714447,3481.639648,1062.797974,-109.987839,3587.067139,1052.977539,-67.900955,3521.069092,1041.726807,-152.034546,3537.362305,1038.429565,-287.398193,3813.293701,1666.705444,230.38446,3898.8396,1641.035767,147.826584,3895.29541,1558.358765,178.632599,3701.445801,1342.06665,198.25528,3660.26709,1324.210083,121.278122,3805.085205,1340.689087,133.557007
25,3571.793457,1050.688354,-174.126251,3547.295166,1067.551025,-225.303177,3481.649902,1062.786255,-109.968658,3587.061768,1052.990356,-67.916992,3521.072021,1041.728394,-152.049042,3537.368164,1038.433105,-287.41391,3813.27832,1666.714722,230.410294,3898.828125,1641.047119,147.842438,3895.290039,1558.369019,178.630554,3701.45166,1342.054932,198.249023,3660.251221,1324.223267,121.292328,3805.07373,1340.701294,133.571136
26,3571.715576,1050.631958,-174.097153,3547.388916,1067.461304,-225.213974,3481.639404,1062.740723,-109.967682,3586.986816,1052.97583,-67.881195,3521.075684,1041.747559,-152.021698,3537.378906,1038.431396,-287.413177,3813.276611,1666.714966,230.410049,3898.831055,1641.057251,147.866623,3895.299561,1558.380005,178.632248,3701.453857,1342.062988,198.260223,3660.281006,1324.248413,121.269829,3805.080566,1340.716431,133.562195
27,3571.675781,1050.711182,-173.945511,3547.404541,1067.375488,-225.121613,3481.657471,1062.71814,-109.933563,3586.981934,1053.001709,-67.894516,3521.133789,1041.743774,-151.975647,3537.381348,1038.431396,-287.403168,3813.269043,1666.723633,230.422348,3898.79126,1641.026001,147.902603,3895.303711,1558.378906,178.626007,3701.466064,1342.094116,198.276108,3660.25,1324.272217,121.282242,3805.097168,1340.733032,133.559067
28,3571.63623,1050.684082,-173.929474,3547.416016,1067.365723,-225.093689,3481.681641,1062.685669,-109.924332,3586.973145,1053.009399,-67.902885,3521.113281,1041.768433,-151.987274,3537.419922,1038.4375,-287.393005,3813.290527,1666.733276,230.44899,3898.798096,1641.040771,147.921997,3895.304932,1558.388062,178.654266,3701.478271,1342.115234,198.264099,3660.258789,1324.302734,121.281273,3805.115479,1340.754517,133.564728
29,3571.623535,1050.633057,-173.893066,3547.403564,1067.302856,-225.043411,3481.688477,1062.686768,-109.917061,3586.950195,1053.014038,-67.900497,3521.593262,1041.511475,-151.324493,3537.422363,1038.424438,-287.393982,3813.296143,1666.720215,230.481689,3898.788818,1641.036743,147.933624,3895.288574,1558.41626,178.674072,3701.495117,1342.119385,198.255478,3660.278564,1324.337769,121.259239,3805.13623,1340.781738,133.541901
30,3571.558838,1050.488525,-173.97403,3547.388184,1067.239502,-225.003006,3481.358398,1062.513062,-110.233482,3586.942627,1053.016113,-67.877022,3522.058105,1041.683105,-150.754776,3537.421387,1038.445068,-287.394531,3813.290771,1666.727417,230.501968,3898.781738,1641.027832,147.931351,3895.281494,1558.424561,178.687454,3701.431152,1342.098389,198.32637,3660.273682,1324.368408,121.258652,3805.152588,1340.786255,133.544388
31,3571.585938,1050.516846,-173.832703,3547.315674,1067.164673,-225.063705,3481.380859,1062.39917,-110.203545,3586.957764,1053.019165,-67.883926,3521.821289,1041.842651,-151.086456,3537.465088,1038.427612,-287.38623,3813.284912,1666.720215,230.521027,3898.797607,1641.005371,147.929749,3895.146484,1558.387329,178.674393,3701.446289,1342.088257,198.376114,3660.285645,1324.386353,121.239708,3805.1604,1340.797485,133.547119
32,3571.521484,1050.389282,-173.902802,3547.365479,1067.142944,-224.925781,3481.386475,1062.370361,-110.232246,3586.943359,1053.007202,-67.874596,3522.060547,1041.61499,-150.609207,3537.467529,1038.425537,-287.365723,3813.297852,1666.719604,230.547241,3898.788086,1641.00293,147.960754,3895.189941,1558.392578,178.632507,3701.465332,1342.10437,198.408112,3660.290771,1324.43042,121.223648,3805.18335,1340.811523,133.566605
33,3571.518066,1050.327026,-173.905655,3547.300781,1067.057373,-224.987167,3481.386719,1062.335938,-110.228653,3586.958008,1053.007446,-67.877342,3522.149902,1041.623413,-150.559006,3537.468994,1038.424316,-287.35025,3813.308594,1666.723145,230.562149,3898.796631,1641.008545,147.949173,3895.147461,1558.36792,178.667877,3701.472412,1342.144897,198.430389,3660.281494,1324.433105,121.24662,3805.200928,1340.82019,133.540939
34,3571.550781,1050.359131,-173.766129,3547.258545,1067.004028,-224.990372,3481.349609,1062.30835,-110.154915,3586.976562,1052.999634,-67.861313,3522.148438,1041.609375,-150.554504,3537.454346,1038.41748,-287.367401,3813.301025,1666.701782,230.563751,3898.803711,1641.000366,147.952438,3895.156738,1558.359131,178.665909,3701.468506,1342.145996,198.450165,3660.306396,1324.437622,121.214165,3805.201416,1340.813965,133.538315
35,3571.537842,1050.335693,-173.764526,3547.21582,1066.95105,-224.994675,3481.342773,1062.278564,-110.165192,3586.989014,1052.99231,-67.877899,3521.898438,1041.702393,-150.931152,3537.462402,1038.413208,-287.367645,3813.306885,1666.699463,230.557129,3898.793457,1641.002075,147.944687,3895.136475,1558.387695,178.690857,3701.559326,1342.094727,198.528351,3660.29248,1324.436401,121.239166,3805.208252,1340.792358,133.545288
36,3571.483887,1050.219238,-173.883316,3547.200439,1066.839966,-225.021301,3481.33667,1062.251953,-110.165558,3587.011963,1052.972168,-67.870247,3522.026367,1041.598022,-150.609268,3537.455322,1038.421753,-287.363312,3813.317383,1666.700439,230.561905,3898.789795,1641.0,147.946701,3895.223633,1558.361572,178.7061,3701.488525,1342.128174,198.544891,3660.308105,1324.427124,121.218079,3805.202637,1340.77124,133.550812
37,3571.469727,1050.052979,-173.938736,3547.153564,1066.76355,-225.039902,3481.299805,1062.192383,-110.154556,3587.238525,1052.888672,-68.102829,3522.113281,1041.565063,-150.565033,3537.44751,1038.402954,-287.386566,3813.31958,1666.675293,230.52594,3898.746582,1640.98645,147.915131,3895.2229,1558.335205,178.696625,3701.476562,1342.115845,198.574753,3660.317383,1324.410278,121.21257,3805.187988,1340.763062,133.558762
38,3571.509277,1050.078125,-173.807877,3547.097656,1066.740234,-225.066208,3481.266602,1062.166382,-110.172218,3587.043945,1052.912964,-67.844841,3522.104004,1041.621094,-150.644714,3537.458252,1038.389648,-287.368317,3813.307861,1666.677246,230.523773,3898.793701,1641.0,147.924622,3895.330322,1558.34668,178.628357,3701.548828,1342.147705,198.539307,3660.300293,1324.385742,121.222191,3805.194092,1340.750488,133.549408
39,3571.435547,1049.972656,-173.936768,3547.034912,1066.701416,-225.102615,3481.208008,1062.137329,-110.190033,3587.074463,1052.944214,-67.86541,3521.857178,1041.602661,-150.946136,3537.440186,1038.408325,-287.379089,3813.314941,1666.673828,230.521408,3898.791992,1640.988281,147.911758,3895.297363,1558.345215,178.667694,3701.524902,1342.164551,198.424591,3660.310303,1324.351807,121.216812,3805.178711,1340.730713,133.545761
40,3571.442871,1049.911133,-173.947906,3546.985352,1066.668335,-225.138885,3481.18042,1062.143799,-110.205406,3587.290771,1052.863403,-68.130501,3521.665283,1041.723999,-151.139648,3537.284912,1038.335327,-287.55954,3813.307617,1666.655518,230.502716,3898.791016,1640.991699,147.898956,3895.317627,1558.32959,178.628326,3701.446777,1342.102417,198.425964,3660.301025,1324.32605,121.230019,3805.166748,1340.715698,133.544113
41,3571.415771,1049.878418,-173.981094,3546.950195,1066.623535,-225.155472,3481.133789,1062.091187,-110.232506,3587.112793,1052.901855,-67.853477,3521.585205,1041.713257,-151.157166,3537.386719,1038.380615,-287.414062,3813.311279,1666.665771,230.478867,3898.780518,1640.992188,147.886124,3895.317871,1558.315552,178.63826,3701.491699,1342.109131,198.405151,3660.313477,1324.2948,121.228699,3805.170654,1340.68457,133.548523
42,3571.386719,1049.821045,-173.983185,3546.905273,1066.599976,-225.19313,3481.088867,1062.057373,-110.239639,3587.120361,1052.928589,-67.887787,3521.609375,1041.677734,-151.178299,3537.407227,1038.411377,-287.381897,3813.323975,1666.665894,230.455399,3898.786133,1640.988647,147.877472,3895.321045,1558.309937,178.612198,3701.499268,1342.135498,198.328598,3660.307373,1324.260986,121.22583,3805.152588,1340.680908,133.546021
43,3571.366455,1049.781006,-174.009644,3546.875732,1066.57312,-225.224792,3481.065918,1062.018188,-110.259369,3587.127197,1052.932617,-67.8936,3521.60376,1041.616455,-151.172958,3537.392578,1038.411133,-287.394928,3813.305908,1666.670288,230.434479,3898.799561,1640.978149,147.861435,3895.319336,1558.29248,178.612183,3701.527344,1342.077637,198.370819,3660.297119,1324.22998,121.228706,3805.129639,1340.676025,133.538849
44,3571.338379,1049.701416,-173.977066,3546.816406,1066.551392,-225.2491,3481.038574,1061.964233,-110.341316,3587.122803,1052.930176,-67.918961,3521.578857,1041.59436,-151.179169,3537.381592,1038.406372,-287.401398,3813.30249,1666.674927,230.421234,3898.8396,1641.021362,147.841736,3895.311279,1558.286987,178.624893,3701.465088,1342.092041,198.359619,3660.300781,1324.208252,121.255867,3805.106934,1340.666748,133.556213
45,3571.297363,1049.640869,-173.973801,3546.772461,1066.54248,-225.289322,3481.012207,1061.925171,-110.358948,3587.118164,1052.918213,-67.897552,3521.683838,1041.498169,-151.023621,3537.377441,1038.413818,-287.40744,3813.31958,1666.670898,230.3927,3898.836426,1641.018433,147.826523,3895.320801,1558.294189,178.612366,3701.440918,1342.089111,198.328751,3660.306641,1324.199341,121.22242,3805.089355,1340.652832,133.548233
46,3571.264893,1049.598511,-173.982056,3546.747803,1066.512451,-225.320206,3480.976562,1061.912354,-110.373505,3587.113037,1052.943481,-67.917839,3521.85498,1041.377075,-150.863892,3537.347168,1038.419312,-287.397217,3813.303711,1666.685669,230.386322,3898.83374,1641.015137,147.822052,3895.291016,1558.300049,178.608658,3701.439697,1342.063843,198.283401,3660.273193,1324.194336,121.267281,3805.084229,1340.654053,133.560272
47,3571.239258,1049.580688,-174.007599,3546.744873,1066.491211,-225.337418,3480.956055,1061.877563,-110.374115,3587.111328,1052.952148,-67.916496,3521.939209,1041.299316,-150.749802,3537.337646,1038.4198,-287.410736,3813.293457,1666.702148,230.377274,3898.821533,1641.028931,147.816879,3895.278809,1558.33606,178.617981,3701.43335,1342.061646,198.247742,3660.27832,1324.184448,121.272697,3805.07959,1340.671509,133.555801
48,3571.232178,1049.565674,-174.043747,3546.769775,1066.462036,-225.339813,3480.932373,1061.852783,-110.403725,3587.077637,1052.961548,-67.908852,3521.909668,1041.305664,-150.800797,3537.369873,1038.448364,-287.39682,3813.292725,1666.701172,230.369019,3898.834229,1641.042236,147.83197,3895.294189,1558.356812,178.613037,3701.507324,1342.040649,198.257004,3660.27832,1324.184326,121.276924,3805.081055,1340.687134,133.542618
49,3571.202393,1049.56189,-174.07402,3546.640137,1066.379883,-225.485779,3480.914062,1061.8479,-110.402634,3587.066406,1052.990356,-67.941177,3521.864746,1041.32959,-150.810364,3537.340576,1038.446289,-287.414917,3813.279541,1666.70105,230.364151,3898.81958,1641.042236,147.849243,3895.305176,1558.361206,178.627625,3701.447998,1342.040161,198.289734,3660.271973,1324.195801,121.278389,3805.081299,1340.699097,133.557526
