Frame,left_001_X,left_001_Y,left_001_Z,left_002_X,left_002_Y,left_002_Z,left_003_X,left_003_Y,left_003_Z,volume_001_X,volume_001_Y,volume_001_Z,volume_002_X,volume_002_Y,volume_002_Z,volume_003_X,volume_003_Y,volume_003_Z,webcam_001_X,webcam_001_Y,webcam_001_Z,webcam_002_X,webcam_002_Y,webcam_002_Z,webcam_003_X,webcam_003_Y,webcam_003_Z,zed_volume_001_X,zed_volume_001_Y,zed_volume_001_Z,zed_volume_002_X,zed_volume_002_Y,zed_volume_002_Z,zed_volume_003_X,zed_volume_003_Y,zed_volume_003_Z
32,3501.866455,1066.317749,-124.649597,3571.301025,1036.321167,-188.07016,3548.068848,1055.435669,-231.974335,3536.941406,1038.339478,-287.790161,3521.290039,1042.206909,-151.203842,3586.730469,1052.373047,-68.60994,3813.97876,1666.575195,230.374313,3900.007568,1640.762573,148.189621,3896.143066,1557.755981,178.866501,3701.552734,1342.068604,198.194107,3660.351318,1323.991821,120.837471,3805.147461,1340.100342,133.327255
33,3501.881104,1066.307617,-124.654716,3571.395508,1036.296753,-188.225647,3548.025146,1055.389038,-231.989487,3537.013428,1038.387207,-287.701782,3521.358643,1042.314331,-151.188705,3586.718506,1052.372192,-68.622223,3813.972656,1666.570923,230.377426,3899.999023,1640.760864,148.179794,3896.185059,1557.772583,178.838486,3701.552979,1342.044922,198.204376,3660.344482,1323.981323,120.850998,3805.142578,1340.095459,133.324341
34,3501.880371,1066.268921,-124.67231,3571.28833,1036.276001,-188.126724,3548.003174,1055.36499,-232.001266,3536.967041,1038.322388,-287.790192,3521.392578,1042.369995,-151.141373,3586.697998,1052.367065,-68.615616,3813.9729,1666.562622,230.375031,3900.023926,1640.750732,148.186523,3896.157959,1557.717651,178.813049,3701.612061,1342.091919,198.169861,3660.346191,1323.989502,120.844322,3805.137451,1340.085327,133.317017
35,3501.880859,1066.237671,-124.702675,3571.282959,1036.255371,-188.183044,3548.012939,1055.349243,-232.001633,3537.026123,1038.369141,-287.694275,3521.403809,1042.377686,-151.143997,3586.716309,1052.376831,-68.622551,3813.967529,1666.567627,230.371979,3900.017578,1640.759766,148.180664,3896.206055,1557.714111,178.770157,3701.628906,1342.093872,198.164566,3660.344482,1323.970581,120.856445,3805.123291,1340.079712,133.324234
36,3501.881104,1066.22937,-124.664345,3571.264893,1036.201538,-188.23085,3548.008057,1055.321411,-232.006775,3537.036133,1038.371826,-287.696198,3521.407227,1042.365234,-151.145813,3586.682861,1052.376099,-68.603996,3813.97168,1666.574707,230.372253,3900.02417,1640.756226,148.187057,3896.160889,1557.717651,178.806671,3701.564941,1342.046509,198.197311,3660.348877,1323.967041,120.865448,3805.124512,1340.084595,133.316742
37,3501.876953,1066.184814,-124.721138,3571.273682,1036.182495,-188.246307,3547.993652,1055.290894,-232.01532,3537.019775,1038.403931,-287.698364,3521.406006,1042.387207,-151.127975,3586.494385,1052.40979,-68.353882,3813.977051,1666.57373,230.381561,3900.009766,1640.756226,148.198181,3896.156006,1557.776978,178.832581,3701.549561,1342.114868,198.137924,3660.325439,1323.975952,120.861549,3805.088623,1340.085327,133.339951
38,3501.872803,1066.130615,-124.742348,3571.247559,1036.145386,-188.281586,3547.990234,1055.269165,-232.022018,3537.023682,1038.396118,-287.697296,3521.313721,1042.237671,-151.164291,3586.639648,1052.391846,-68.571121,3813.959717,1666.564819,230.381729,3899.990479,1640.758301,148.204453,3896.123291,1557.779907,178.886414,3701.570068,1342.07373,198.192307,3660.324707,1323.983521,120.860825,3805.075439,1340.090088,133.347031
39,3501.876953,1066.092651,-124.748947,3571.240967,1036.134033,-188.320862,3547.965576,1055.258423,-232.05014,3537.01001,1038.411499,-287.707245,3521.409424,1042.380249,-151.119446,3586.620361,1052.386353,-68.599609,3813.944336,1666.579468,230.392654,3899.988037,1640.761719,148.202042,3896.114014,1557.777832,178.879333,3701.522705,1342.095459,198.208084,3660.317139,1324.000244,120.892525,3805.067139,1340.101562,133.359009
40,3501.868652,1065.855347,-124.683083,3571.216797,1036.105103,-188.3302,3547.953613,1055.23291,-232.073318,3537.033936,1038.437256,-287.696899,3521.343506,1042.275391,-151.150284,3586.583984,1052.372559,-68.579559,3813.963867,1666.591431,230.411163,3899.963135,1640.758057,148.215027,3896.096436,1557.782227,178.894638,3701.560547,1342.082153,198.271393,3660.307861,1324.012695,120.884148,3805.039307,1340.108276,133.370392
41,3501.891846,1065.797852,-124.687256,3571.212402,1036.067627,-188.335556,3547.958252,1055.234253,-232.086288,3537.025879,1038.434082,-287.693695,3521.357666,1042.269897,-151.122345,3586.587402,1052.381836,-68.584152,3813.955322,1666.584839,230.417679,3899.964355,1640.749023,148.218842,3896.085693,1557.791992,178.898514,3701.578613,1342.111328,198.311966,3660.328613,1324.017578,120.876389,3805.02832,1340.105713,133.390747
42,3501.869873,1065.737793,-124.7537,3571.199463,1036.019409,-188.371979,3547.972168,1055.206299,-232.111725,3537.023682,1038.43689,-287.686432,3521.381592,1042.291626,-151.098938,3586.394287,1052.425781,-68.324295,3813.934326,1666.585571,230.435471,3899.956543,1640.753418,148.228241,3896.073486,1557.812622,178.908066,3701.587402,1342.136108,198.335175,3660.330811,1324.030273,120.897316,3804.996094,1340.114258,133.405289
43,3501.842773,1065.713013,-124.775009,3571.192139,1035.999268,-188.408417,3547.979492,1055.184448,-232.135666,3537.022461,1038.449097,-287.700897,3520.585693,1042.653931,-151.628586,3586.554932,1052.390503,-68.559608,3813.943604,1666.596069,230.457352,3899.944824,1640.759521,148.233032,3896.074951,1557.805176,178.925018,3701.5896,1342.151123,198.368958,3660.304199,1324.050049,120.918404,3804.987549,1340.113281,133.399918
