Frame,pitch_001_X,pitch_001_Y,pitch_001_Z,pitch_002_X,pitch_002_Y,pitch_002_Z,pitch_003_X,pitch_003_Y,pitch_003_Z,right_001_X,right_001_Y,right_001_Z,right_002_X,right_002_Y,right_002_Z,right_003_X,right_003_Y,right_003_Z,right_004_X,right_004_Y,right_004_Z,right_005_X,right_005_Y,right_005_Z,right_006_X,right_006_Y,right_006_Z,webcam_001_X,webcam_001_Y,webcam_001_Z,webcam_002_X,webcam_002_Y,webcam_002_Z,webcam_003_X,webcam_003_Y,webcam_003_Z,zed_pitch_001_X,zed_pitch_001_Y,zed_pitch_001_Z,zed_pitch_002_X,zed_pitch_002_Y,zed_pitch_002_Z,zed_pitch_003_X,zed_pitch_003_Y,zed_pitch_003_Z,zed_pitch_004_X,zed_pitch_004_Y,zed_pitch_004_Z
20,3573.026611,1497.570801,355.327759,3573.601562,1305.120239,340.766418,3566.424072,1077.618042,372.002899,3164.435547,1455.184937,123.953857,3115.881592,1460.907837,221.988586,3145.858643,1492.180664,192.130447,3141.352295,1486.623169,148.743179,3093.999268,1460.730469,179.149994,3117.683105,1497.481201,181.304382,3871.759277,1661.800903,21.455418,3789.342529,1644.589722,-66.379433,3818.043213,1560.894043,-68.788589,3834.800781,1329.257324,137.720444,3758.52002,1324.335693,182.825317,3765.897949,1331.493652,35.013252,3811.587891,1310.252441,-11.565989
21,3573.035889,1497.542358,355.286774,3573.609375,1305.085449,340.728119,3566.415039,1077.599121,371.996643,3164.405273,1455.134644,123.985847,3115.864258,1460.874756,221.977158,3145.838135,1492.14978,192.100906,3141.409912,1486.57959,148.747101,3094.016846,1460.712769,179.154861,3117.702637,1497.441284,181.245972,3871.730225,1661.750244,21.470537,3789.346191,1644.576416,-66.383629,3818.054199,1560.842285,-68.799881,3834.807861,1329.243408,137.715332,3758.509033,1324.315796,182.819931,3765.888428,1331.459595,35.013504,3811.604248,1310.245239,-11.577366
22,3573.023682,1497.529663,355.277466,3573.611084,1305.064697,340.705872,3566.391113,1077.587646,372.017853,3164.404785,1455.120361,124.014076,3115.853271,1460.856323,221.979919,3145.804443,1492.139404,192.136032,3141.412598,1486.562378,148.737061,3094.010742,1460.697266,179.127686,3117.666504,1497.394653,181.245514,3871.742188,1661.71582,21.485577,3789.338867,1644.547119,-66.395187,3818.060303,1560.815186,-68.803757,3834.80957,1329.224976,137.711746,3758.503906,1324.297729,182.824661,3765.879639,1331.438721,35.008579,3811.611328,1310.228149,-11.617193
23,3573.018066,1497.521484,355.285217,3573.606445,1305.050903,340.706146,3566.379639,1077.582764,372.015686,3164.400879,1455.118408,124.007584,3115.870117,1460.858643,221.971542,3145.784912,1492.128662,192.108536,3141.398926,1486.564209,148.748795,3094.001465,1460.680176,179.13063,3117.64209,1497.37439,181.261581,3871.733398,1661.689209,21.487841,3789.327148,1644.533691,-66.38588,3818.057129,1560.793457,-68.820137,3834.790527,1329.22229,137.710251,3758.495361,1324.278931,182.837433,3765.876709,1331.421387,35.022381,3811.611328,1310.224609,-11.579042
24,3573.01001,1497.514893,355.281067,3573.612793,1305.026611,340.712433,3566.151123,1077.39209,371.963196,3164.374023,1455.1073,124.023262,3115.871826,1460.818359,221.957001,3145.746094,1492.099731,192.129517,3141.410156,1486.565674,148.738571,3093.980225,1460.653564,179.13501,3117.622314,1497.362061,181.254257,3871.716553,1661.674683,21.497299,3789.32251,1644.511597,-66.381897,3818.059326,1560.76709,-68.807899,3834.780029,1329.212769,137.702759,3758.423584,1324.189209,182.837463,3765.878174,1331.401245,35.023193,3811.616211,1310.224609,-11.65401
25,3572.994141,1497.506714,355.280914,3573.60498,1305.020386,340.72937,3566.085449,1077.374512,371.956207,3164.338135,1455.100952,124.001495,3115.8396,1460.802002,221.934265,3145.706055,1492.095947,192.156418,3141.352783,1486.575439,148.721771,3093.966064,1460.683228,179.139328,3117.585205,1497.352661,181.265289,3871.697998,1661.690308,21.482725,3789.312012,1644.511475,-66.383957,3818.036621,1560.749023,-68.79187,3834.761475,1329.211914,137.691818,3758.38501,1324.172363,182.890732,3765.875244,1331.378052,35.029964,3811.585693,1310.210938,-11.604986
26,3573.036133,1497.496338,355.340363,3573.610107,1305.046143,340.744385,3566.078125,1077.360229,371.965302,3164.281494,1455.11731,123.980049,3115.830811,1460.769897,221.941696,3145.681396,1492.11731,192.170837,3141.295898,1486.576904,148.720673,3093.929932,1460.661499,179.138611,3117.560303,1497.362671,181.268738,3871.712646,1661.683838,21.505383,3789.306885,1644.526123,-66.400833,3818.005127,1560.749023,-68.803551,3834.739258,1329.204102,137.684586,3758.373047,1324.156738,182.896774,3765.862061,1331.373169,35.029606,3811.583984,1310.211914,-11.571803
27,3572.982422,1497.5177,355.310577,3573.581055,1305.0448,340.78714,3566.236328,1077.519897,372.00882,3164.241699,1455.13501,123.996948,3115.831543,1460.757324,221.948593,3145.631348,1492.139404,192.201645,3141.242188,1486.629639,148.715729,3093.897217,1460.675171,179.146393,3117.536621,1497.381958,181.283951,3871.679199,1661.698242,21.504507,3789.311768,1644.543823,-66.408913,3817.996094,1560.759399,-68.785629,3834.714355,1329.210327,137.682144,3758.432617,1324.247681,182.897507,3765.8396,1331.386108,35.054413,3811.562256,1310.206665,-11.530627
28,3572.963379,1497.5271,355.316559,3573.560303,1305.06189,340.813324,3566.351562,1077.584351,372.003571,3164.168213,1455.115234,124.018654,3115.834961,1460.737305,221.924515,3145.589111,1492.147339,192.229218,3141.178711,1486.626953,148.70166,3093.876221,1460.69104,179.14772,3117.498047,1497.418701,181.311935,3871.552002,1661.796631,21.558722,3789.311768,1644.557983,-66.41745,3817.977539,1560.794312,-68.778122,3834.69751,1329.210083,137.689117,3758.393066,1324.174072,182.889084,3765.813721,1331.414307,35.061275,3811.525635,1310.215576,-11.452557
29,3572.965332,1497.534546,355.320496,3573.54126,1305.089233,340.830139,3566.131592,1077.387207,371.948212,3164.160156,1455.12439,124.010269,3115.821045,1460.741089,221.927475,3145.571533,1492.161987,192.22261,3141.130371,1486.657471,148.698837,3093.843994,1460.691284,179.160095,3117.463623,1497.447144,181.311493,3871.562988,1661.862671,21.543337,3789.283691,1644.5802,-66.407211,3817.966309,1560.807861,-68.763092,3834.642822,1329.16272,137.714569,3758.427979,1324.244873,182.894455,3765.813477,1331.433594,35.066338,3811.523193,1310.219849,-11.424297
