Frame,left_001_X,left_001_Y,left_001_Z,left_002_X,left_002_Y,left_002_Z,left_003_X,left_003_Y,left_003_Z,volume_001_X,volume_001_Y,volume_001_Z,volume_002_X,volume_002_Y,volume_002_Z,volume_003_X,volume_003_Y,volume_003_Z,webcam_001_X,webcam_001_Y,webcam_001_Z,webcam_002_X,webcam_002_Y,webcam_002_Z,webcam_003_X,webcam_003_Y,webcam_003_Z,zed_volume_001_X,zed_volume_001_Y,zed_volume_001_Z,zed_volume_002_X,zed_volume_002_Y,zed_volume_002_Z,zed_volume_003_X,zed_volume_003_Y,zed_volume_003_Z
21,3530.946289,1071.783325,-226.165604,3562.800537,1053.633301,-179.609299,3468.528809,1064.868164,-105.145142,3537.419189,1040.439087,-289.541901,3586.284424,1053.729126,-69.760452,3521.500244,1043.567017,-152.216919,3812.946045,1668.443726,228.903885,3898.531738,1642.603516,146.441467,3894.881104,1559.551514,177.145203,3702.117676,1343.488159,196.797485,3660.190918,1325.869019,119.199738,3805.063965,1341.668335,132.186386
22,3531.006104,1071.851929,-226.174728,3562.831055,1053.665649,-179.584808,3468.51123,1065.052368,-105.026573,3537.423584,1040.453613,-289.543488,3586.273193,1053.72644,-69.735657,3521.478271,1043.54126,-152.221237,3812.952637,1668.470459,228.891876,3898.516846,1642.614746,146.456879,3894.8125,1559.51062,177.067566,3702.103271,1343.505737,196.829132,3660.172363,1325.861084,119.21743,3805.0354,1341.666138,132.165771
23,3531.033936,1071.90625,-226.177872,3562.83374,1053.689209,-179.544617,3468.489258,1065.116943,-104.930878,3537.435059,1040.460449,-289.512512,3586.239014,1053.737183,-69.710381,3521.471436,1043.538818,-152.203445,3812.913574,1668.482056,228.894638,3898.520264,1642.594849,146.46225,3894.870605,1559.53894,177.183884,3702.098145,1343.493164,196.852325,3660.161133,1325.865601,119.230087,3805.038574,1341.659302,132.207489
24,3531.031738,1071.94043,-226.165451,3562.807129,1053.711182,-179.505936,3468.487305,1065.168579,-104.837334,3537.467773,1040.459473,-289.50531,3586.202148,1053.727783,-69.662056,3521.484619,1043.521729,-152.179367,3812.890869,1668.502075,228.882553,3898.503662,1642.597534,146.475128,3894.866211,1559.538574,177.189835,3702.118164,1343.465576,196.847885,3660.168701,1325.890015,119.227249,3805.046143,1341.652344,132.218414
25,3531.029297,1071.957764,-226.156403,3562.827881,1053.74231,-179.473679,3468.469971,1065.273315,-104.711815,3537.483643,1040.458496,-289.506775,3586.186279,1053.737183,-69.663315,3521.480225,1043.537354,-152.150024,3812.882324,1668.522461,228.889847,3898.476562,1642.606934,146.483185,3894.857178,1559.549072,177.202179,3702.089844,1343.489746,196.866638,3660.146729,1325.89624,119.231567,3805.048584,1341.653564,132.237411
26,3531.041504,1071.975586,-226.162247,3562.815186,1053.758301,-179.436874,3468.481445,1065.371704,-104.625832,3537.47998,1040.494141,-289.46933,3586.156738,1053.744141,-69.628944,3521.483154,1043.523193,-152.124969,3812.862305,1668.544067,228.892471,3898.466309,1642.598877,146.485031,3894.635986,1559.421875,177.079498,3702.084717,1343.494873,196.869217,3660.123535,1325.901489,119.259979,3805.035156,1341.662109,132.259033
27,3531.045166,1072.006592,-226.164169,3562.811279,1053.782593,-179.431625,3468.488281,1065.471802,-104.507034,3537.491211,1040.484131,-289.457123,3586.13208,1053.756714,-69.622093,3521.442627,1043.517456,-152.106461,3812.838379,1668.58667,228.901688,3898.459961,1642.616577,146.4953,3894.724854,1559.4552,177.123047,3702.079834,1343.506104,196.907745,3660.120361,1325.902344,119.277428,3805.02832,1341.668457,132.284332
28,3531.037354,1072.014526,-226.165939,3562.807617,1053.794189,-179.418274,3468.497803,1065.598145,-104.381554,3537.489502,1040.486694,-289.449463,3586.114258,1053.767334,-69.60318,3521.44751,1043.534424,-152.078552,3812.827637,1668.616089,228.899811,3898.459473,1642.602539,146.497009,3894.706543,1559.440674,177.206848,3702.078125,1343.521484,196.939102,3660.123779,1325.914551,119.27256,3805.030273,1341.678589,132.281021
29,3531.042236,1072.020752,-226.210083,3562.803467,1053.812622,-179.401718,3468.854248,1065.893433,-104.21106,3537.519775,1040.496094,-289.446472,3586.104492,1053.77417,-69.623299,3521.437988,1043.540161,-152.048523,3812.821777,1668.629517,228.915512,3898.456299,1642.599976,146.510376,3894.583496,1559.404785,177.111862,3702.062012,1343.522461,196.923248,3660.102295,1325.942017,119.268593,3805.02417,1341.704102,132.284531
30,3531.04126,1072.026855,-226.234512,3562.796143,1053.833252,-179.376709,3468.890625,1066.042969,-104.096405,3537.481689,1040.529541,-289.494781,3586.120117,1053.769775,-69.620354,3521.438477,1043.532471,-152.018921,3812.820557,1668.632568,228.920181,3898.452637,1642.596924,146.516785,3894.664795,1559.44873,177.224899,3702.040771,1343.524902,196.947647,3660.095947,1325.957764,119.285957,3805.025635,1341.708862,132.281982
